age,gender,height_cm,weight_kg,discipline,session_type,duration_minutes,intensity,distance_m,effort_count,target_calories
31,Male,175.4,88.3,800m Run,Recovery,88,Low,12006,4,2863
20,Male,165.6,66.0,High Jump,Training,146,Low,8417,16,2791
37,Male,158.3,103.4,Discus,Recovery,35,Low,6566,19,2667
36,Female,162.6,102.7,Javelin,Competition,97,Medium,1042,10,3680
18,Female,178.4,66.1,Long Jump,Training,120,High,14366,6,3973
31,Male,170.2,103.6,Long Jump,Training,75,Low,9036,16,3196
23,Female,192.3,109.8,Javelin,Recovery,124,Medium,10872,10,4135
18,Female,174.4,98.7,Shot Put,Training,67,Low,12311,13,2876
21,Female,166.2,99.9,200m Sprint,Recovery,36,Low,1234,9,2630
37,Female,182.8,61.2,800m Run,Competition,130,Low,1984,7,2562
16,Male,186.8,82.5,1500m Run,Training,89,Low,12448,4,3246
31,Female,162.5,49.4,100m Sprint,Recovery,99,Medium,9470,19,2250
38,Female,162.5,51.2,Triple Jump,Training,112,High,1594,4,2804
22,Male,156.7,109.9,Triple Jump,Recovery,57,Medium,6257,19,3493
37,Male,188.1,66.2,Long Jump,Recovery,120,Medium,10743,19,3111
29,Female,184.9,93.6,Hammer,Recovery,81,Medium,1952,12,3179
29,Female,176.4,97.4,1500m Run,Competition,140,Low,1695,13,3580
22,Female,193.0,100.8,Triple Jump,Training,67,High,954,4,4477
30,Female,191.3,109.8,400m Sprint,Competition,29,Low,3291,10,2757
33,Female,181.3,60.7,400m Sprint,Recovery,55,Medium,8548,7,2500
25,Female,194.1,47.6,200m Sprint,Recovery,23,Low,14504,5,1962
16,Male,164.3,71.7,1500m Run,Competition,63,High,11787,17,3652
37,Female,160.0,53.5,400m Sprint,Competition,75,High,968,18,2579
38,Female,167.1,46.5,400m Sprint,Training,61,Low,241,11,1781
31,Male,157.6,68.4,Long Jump,Recovery,133,Medium,11638,15,3078
40,Male,178.9,95.9,Triple Jump,Competition,40,Low,4234,7,2741
30,Male,197.1,81.8,200m Sprint,Recovery,98,Medium,10336,18,3832
39,Male,156.8,65.3,800m Run,Recovery,88,High,8338,6,3284
29,Female,160.5,87.5,Javelin,Training,89,Low,7349,18,2520
27,Female,175.3,60.1,High Jump,Training,86,High,13368,16,3289
29,Female,197.0,45.9,100m Sprint,Training,67,Medium,5161,2,2469
18,Female,169.2,94.7,100m Sprint,Competition,55,Medium,8734,19,3494
30,Female,177.8,85.5,Hammer,Recovery,46,Low,8883,1,2337
26,Female,156.9,94.5,Discus,Competition,91,Low,1025,11,2798
18,Male,161.7,47.5,High Jump,Competition,120,Low,12242,20,2218
17,Female,199.4,99.4,High Jump,Training,115,High,12197,5,5025
36,Male,198.4,85.3,100m Sprint,Recovery,147,Medium,3359,16,3834
31,Male,155.2,81.6,100m Sprint,Recovery,45,Medium,5257,1,2751
36,Female,197.8,85.6,800m Run,Training,85,High,5736,19,4076
32,Male,183.8,101.2,1500m Run,Recovery,41,Low,7679,14,2844
39,Female,194.1,83.2,1500m Run,Training,36,Low,2951,3,2536
32,Male,175.5,82.8,800m Run,Competition,26,High,8921,2,3265
37,Female,178.2,109.4,Triple Jump,Competition,126,Medium,7389,5,4518
31,Male,177.0,94.2,High Jump,Training,87,Medium,14666,17,3918
26,Female,185.0,73.7,Shot Put,Competition,147,Medium,14952,18,3568
37,Female,161.3,91.0,High Jump,Competition,56,Medium,12691,1,3018
35,Female,156.3,70.3,Discus,Training,57,High,2555,15,2857
38,Female,168.9,59.9,100m Sprint,Competition,115,Medium,14227,9,2869
18,Female,186.7,83.8,High Jump,Recovery,20,High,1150,5,2968
26,Male,164.1,105.3,100m Sprint,Competition,61,Low,1735,13,3051
40,Male,185.3,105.4,High Jump,Training,82,High,7931,19,4985
37,Male,198.6,67.2,Discus,Recovery,100,Medium,1038,10,3217
36,Female,159.2,79.3,Triple Jump,Recovery,27,Low,6369,20,2071
35,Male,185.3,58.8,Javelin,Competition,46,High,7127,14,2950
34,Female,175.0,109.7,Shot Put,Recovery,71,High,2912,12,4107
29,Female,194.1,108.8,Hammer,Training,110,High,4840,11,4997
37,Male,163.0,87.2,400m Sprint,Recovery,105,Low,10732,7,2706
30,Male,186.2,97.3,800m Run,Competition,35,High,12606,17,3922
19,Female,192.7,91.5,800m Run,Competition,85,Medium,1242,18,3946
35,Male,197.5,83.6,Hammer,Recovery,24,Low,8964,7,2693
29,Female,185.7,48.5,Shot Put,Training,101,Low,10108,20,2175
31,Female,177.4,74.6,High Jump,Training,150,High,8098,6,4479
32,Female,182.8,88.9,400m Sprint,Competition,137,Medium,3412,11,4121
19,Female,194.1,89.0,Discus,Competition,100,Low,2499,12,3091
27,Female,180.7,69.3,1500m Run,Training,89,High,11632,16,3628
33,Male,156.4,106.2,High Jump,Recovery,134,Medium,13231,19,3869
27,Male,196.9,55.9,Triple Jump,Recovery,26,High,7160,19,2916
32,Female,186.0,77.5,100m Sprint,Recovery,69,High,6110,11,3440
28,Female,185.4,89.9,Hammer,Recovery,130,Low,3545,16,2907
18,Male,164.7,90.3,200m Sprint,Training,66,Low,1213,12,2933
18,Male,184.6,87.2,High Jump,Competition,131,High,11123,8,5224
34,Female,172.7,62.9,Javelin,Competition,62,Low,418,3,2085
34,Male,184.3,55.2,200m Sprint,Recovery,110,Low,11973,2,2574
33,Female,159.8,86.3,High Jump,Training,48,Medium,4960,6,2835
27,Male,184.6,84.0,Shot Put,Training,147,Medium,788,16,4042
26,Female,200.0,56.7,Javelin,Recovery,115,High,1871,20,3365
21,Male,157.2,90.8,200m Sprint,Recovery,136,High,12782,15,4514
39,Female,199.0,74.6,High Jump,Recovery,89,High,13350,14,3568
26,Male,173.3,88.4,800m Run,Competition,149,High,14497,2,5660
35,Male,194.2,99.4,Javelin,Recovery,89,Medium,2025,20,3880
18,Female,190.2,56.0,200m Sprint,Competition,129,Low,6264,18,2492
16,Male,180.5,46.2,High Jump,Training,75,Medium,2446,14,2959
16,Female,188.2,95.6,1500m Run,Training,108,High,7429,18,5160
19,Male,194.5,84.6,100m Sprint,Competition,150,High,14273,2,6000
37,Female,173.2,90.5,1500m Run,Competition,119,Medium,4823,1,3896
24,Male,169.7,99.5,Hammer,Competition,148,Medium,8752,20,4648
24,Female,185.0,97.2,Hammer,Competition,76,High,2651,2,4342
23,Male,191.4,107.5,400m Sprint,Recovery,70,Low,13440,9,3293
27,Female,189.3,79.8,High Jump,Training,131,High,12096,9,4577
21,Male,190.9,76.8,Long Jump,Recovery,123,Medium,539,16,3532
19,Female,174.6,71.1,Triple Jump,Competition,146,High,6499,11,4472
40,Female,191.8,55.0,1500m Run,Recovery,74,High,4755,6,2859
24,Female,160.4,82.2,200m Sprint,Recovery,20,Low,14767,12,2231
24,Male,179.5,63.0,Shot Put,Training,109,High,5959,3,3963
20,Female,155.3,104.9,Javelin,Recovery,72,High,11328,12,3821
33,Male,169.6,82.9,Triple Jump,Training,92,High,3289,1,4223
35,Female,171.5,83.5,Long Jump,Competition,127,Medium,10802,9,3604
22,Male,172.8,68.1,Discus,Recovery,27,Medium,5546,20,2608
15,Female,186.3,48.4,High Jump,Competition,61,Low,13104,6,2243
31,Male,172.5,47.1,Shot Put,Training,44,High,10136,11,2768
21,Male,175.2,72.5,High Jump,Competition,57,Medium,11337,3,3131
28,Female,165.7,50.5,400m Sprint,Competition,104,Low,2758,4,2133
35,Male,171.8,84.4,Long Jump,Training,43,High,5311,10,3451
35,Male,165.2,102.3,Javelin,Competition,79,Low,11452,19,3137
31,Female,158.3,102.4,Javelin,Competition,130,Low,4107,6,3184
23,Male,182.2,87.8,High Jump,Competition,85,Low,14574,1,3175
31,Male,185.1,58.7,200m Sprint,Recovery,72,Low,1895,8,2521
19,Male,182.9,101.1,400m Sprint,Competition,125,Low,2500,8,3928
40,Female,175.9,102.6,800m Run,Training,115,Low,14718,6,3079
39,Male,172.1,57.8,Discus,Recovery,58,Low,2829,17,2026
34,Female,193.9,92.9,Long Jump,Recovery,61,High,12065,19,3787
22,Male,178.4,63.6,100m Sprint,Training,130,High,47,1,4239
20,Male,176.6,97.2,Shot Put,Competition,123,Low,2364,15,3351
25,Male,156.2,109.8,1500m Run,Recovery,96,High,10448,13,4554
33,Female,170.4,47.0,Hammer,Recovery,27,Low,5666,3,1677
18,Male,172.1,103.3,High Jump,Recovery,45,High,12864,2,4174
32,Male,172.9,85.5,Shot Put,Competition,62,Medium,6458,3,3291
15,Female,181.1,108.3,Shot Put,Recovery,129,Low,8945,9,3165
27,Male,179.0,75.2,100m Sprint,Training,119,Medium,8177,16,3735
28,Female,182.4,100.1,100m Sprint,Competition,82,Low,13347,13,3132
38,Female,189.4,49.1,400m Sprint,Training,68,Low,7630,19,1979
15,Male,191.6,66.8,Long Jump,Training,134,Medium,7931,18,3789
25,Female,187.3,49.4,200m Sprint,Recovery,84,Medium,7058,12,2585
31,Male,198.0,108.4,Discus,Recovery,90,Medium,2802,12,4048
18,Female,155.8,98.1,Hammer,Recovery,26,Low,12841,1,2340
40,Female,163.8,100.4,Javelin,Training,99,Medium,11844,20,3540
26,Male,155.3,106.0,100m Sprint,Competition,86,Medium,8594,8,4161
24,Female,184.1,50.5,100m Sprint,Recovery,120,High,13418,17,2926
20,Female,195.4,70.1,1500m Run,Recovery,114,High,2086,20,3920
39,Female,166.0,49.6,800m Run,Training,106,Medium,6724,7,2411
15,Female,196.7,58.7,100m Sprint,Competition,110,Medium,10419,9,3283
21,Female,157.7,59.9,800m Run,Training,122,Medium,6155,17,2871
40,Male,197.0,75.5,400m Sprint,Recovery,145,Medium,11602,10,3650
35,Female,170.8,62.5,200m Sprint,Training,132,High,11182,4,3703
30,Male,159.6,51.6,Shot Put,Recovery,23,Low,12835,7,1903
38,Female,176.9,55.9,Javelin,Competition,107,Medium,1149,7,2660
28,Male,166.6,54.6,100m Sprint,Training,22,Medium,62,8,2328
37,Male,167.8,108.2,High Jump,Recovery,110,High,13131,8,4780
34,Female,168.8,94.4,800m Run,Recovery,22,Medium,3153,16,2870
34,Female,191.1,107.9,1500m Run,Recovery,100,Medium,9200,12,3851
20,Female,179.3,73.6,Discus,Recovery,113,High,5938,15,3623
36,Male,169.0,63.1,1500m Run,Training,145,Medium,10223,8,3299
39,Female,182.5,96.9,100m Sprint,Recovery,132,Medium,9514,9,3882
19,Male,187.2,66.2,Long Jump,Training,119,High,10273,3,4215
38,Male,167.3,64.5,Shot Put,Recovery,72,Low,751,16,2228
35,Male,173.6,60.1,200m Sprint,Training,106,Medium,7776,15,3085
32,Female,160.5,53.4,High Jump,Training,108,Medium,12336,4,2555
29,Female,163.2,61.7,Long Jump,Recovery,73,Low,8849,20,1935
20,Male,185.7,68.1,1500m Run,Recovery,39,High,9852,16,3215
39,Male,163.2,88.8,800m Run,Recovery,132,Low,700,10,3000
33,Female,178.6,49.1,800m Run,Recovery,68,Medium,9272,11,2282
15,Male,186.9,58.7,Long Jump,Competition,48,Low,10348,5,2498
15,Female,159.8,97.6,800m Run,Recovery,67,High,1540,11,3925
27,Male,180.5,54.5,1500m Run,Recovery,32,Medium,3032,13,2598
17,Female,166.5,67.3,Long Jump,Recovery,22,High,6167,15,2837
24,Male,198.3,101.2,1500m Run,Training,21,High,6364,6,4148
35,Female,176.8,55.1,High Jump,Recovery,35,Low,1983,16,1932
17,Male,191.3,50.4,Shot Put,Training,113,Low,8506,15,2546
23,Female,179.8,76.5,Discus,Training,121,High,14629,11,4076
22,Female,157.0,64.7,High Jump,Training,64,High,11273,20,2962
17,Male,183.5,81.6,High Jump,Training,90,Medium,5796,2,3714
39,Male,197.8,97.2,800m Run,Competition,75,High,7648,2,4644
27,Female,182.1,53.9,100m Sprint,Recovery,146,High,7894,12,3393
20,Male,191.9,82.7,Triple Jump,Training,51,Low,13305,16,2887
27,Female,194.8,77.9,800m Run,Recovery,68,High,12925,19,3634
37,Male,165.3,54.4,100m Sprint,Training,32,High,2314,2,2653
34,Female,164.5,85.6,1500m Run,Competition,44,Low,7959,17,2364
34,Female,182.5,62.8,Triple Jump,Training,79,Medium,10327,14,2768
26,Female,173.5,76.7,800m Run,Recovery,78,Low,14790,16,2480
27,Female,192.8,50.3,Hammer,Recovery,77,Low,1649,5,2068
16,Female,195.5,74.9,Triple Jump,Competition,39,High,7700,10,3603
35,Female,170.9,64.9,Triple Jump,Recovery,76,High,11411,17,3053
38,Male,165.7,98.5,400m Sprint,Recovery,73,Medium,6900,13,3309
37,Male,190.1,48.7,Shot Put,Training,131,High,3800,16,3402
30,Male,167.4,72.2,400m Sprint,Recovery,105,Medium,2478,9,3190
37,Female,192.0,74.8,100m Sprint,Training,56,Medium,12259,4,3005
20,Female,174.1,92.1,200m Sprint,Competition,103,Medium,9967,16,4178
33,Female,185.0,82.3,Long Jump,Recovery,67,Medium,10158,11,3009
35,Female,159.3,88.4,Hammer,Training,137,High,7054,7,4363
27,Male,183.1,95.5,Discus,Recovery,67,Low,6059,17,2878
31,Male,175.3,101.0,200m Sprint,Training,131,Low,9959,13,3401
37,Female,181.4,65.4,Long Jump,Competition,129,High,12007,4,3864
23,Male,162.6,80.0,100m Sprint,Training,25,High,8433,14,3479
31,Male,188.2,99.6,Javelin,Recovery,97,Medium,12989,10,3829
16,Female,193.8,109.3,100m Sprint,Training,42,High,11141,10,4224
33,Male,164.8,102.8,1500m Run,Recovery,145,Low,13028,10,3401
33,Female,159.3,69.1,Discus,Competition,103,High,6209,12,3248
38,Male,156.1,57.7,Javelin,Training,32,High,7115,2,2627
21,Female,183.9,76.8,Shot Put,Recovery,66,Medium,14713,9,3009
36,Female,182.3,93.2,Triple Jump,Recovery,63,Medium,14723,5,3055
24,Female,179.6,77.0,400m Sprint,Recovery,124,Medium,14102,8,3470
24,Female,165.4,76.4,400m Sprint,Training,33,Medium,13068,14,2697
34,Male,172.6,99.5,100m Sprint,Training,140,Low,2256,7,3700
23,Female,181.8,68.5,400m Sprint,Training,55,High,12303,7,3157
31,Female,177.4,100.9,Hammer,Competition,27,High,3368,9,3513
29,Female,199.5,71.4,Hammer,Recovery,35,Medium,13273,3,2827
16,Male,161.1,66.3,Hammer,Recovery,110,Low,7387,14,2390
18,Female,186.3,74.5,Javelin,Competition,139,Low,8558,17,3009
33,Male,173.2,94.6,100m Sprint,Competition,79,High,2827,18,4569
31,Female,174.3,53.2,Triple Jump,Training,29,Medium,9444,12,2247
19,Male,187.3,57.8,100m Sprint,Training,50,High,2487,14,3365
21,Male,186.2,106.8,1500m Run,Training,40,High,12977,13,4575
32,Female,199.6,56.4,Shot Put,Training,100,Low,3603,14,2277
35,Male,160.8,81.9,High Jump,Training,52,Low,3521,9,2555
36,Female,159.7,82.7,800m Run,Training,50,High,13347,19,3102
21,Female,187.6,76.8,Javelin,Competition,55,Medium,13134,2,3095
31,Female,181.0,86.9,Shot Put,Competition,87,Medium,4517,11,3469
21,Male,167.3,59.9,Shot Put,Competition,109,High,1643,17,3650
18,Male,158.6,80.9,200m Sprint,Recovery,28,High,1212,2,3166
22,Female,158.9,69.2,Discus,Recovery,49,Medium,7345,19,2420
27,Female,195.2,88.0,Discus,Training,134,Medium,4703,7,3977
18,Male,163.6,54.2,Javelin,Competition,64,Medium,5434,18,2694
20,Female,169.6,82.1,Hammer,Recovery,23,High,19,13,3169
39,Female,165.2,57.0,Long Jump,Recovery,88,Low,675,5,1990
19,Female,171.0,63.1,800m Run,Competition,42,Medium,4477,18,2533
26,Male,158.1,59.2,Triple Jump,Recovery,35,Medium,608,16,2461
18,Male,178.4,56.9,Hammer,Recovery,41,Medium,6286,15,2722
38,Male,158.0,98.7,Javelin,Competition,91,High,61,8,4398
23,Female,191.0,63.6,High Jump,Recovery,67,Low,9457,15,2377
18,Female,165.5,105.3,High Jump,Competition,126,Low,10477,1,3249
33,Female,179.3,108.0,Javelin,Recovery,26,Medium,1154,17,3050
38,Male,194.6,82.1,Discus,Competition,70,High,9820,15,3916
28,Female,184.3,54.3,Shot Put,Recovery,84,Low,9818,14,2097
19,Female,179.0,69.3,1500m Run,Recovery,28,High,3716,14,2885
32,Female,169.6,96.9,Long Jump,Competition,101,Low,5242,10,2959
24,Female,170.0,68.9,100m Sprint,Recovery,64,Medium,5559,2,2730
39,Male,185.1,50.7,Long Jump,Competition,141,High,5022,6,3732
33,Male,199.7,81.2,200m Sprint,Competition,29,Medium,6485,17,3325
26,Female,184.8,99.9,Long Jump,Recovery,92,Low,1442,5,3120
32,Male,180.1,96.7,Shot Put,Training,67,Low,1653,5,3222
31,Male,187.9,56.4,Triple Jump,Recovery,106,Medium,2502,15,2920
38,Female,175.9,88.7,Shot Put,Training,130,Low,3269,15,2949
25,Female,157.7,59.3,Discus,Training,35,Medium,281,20,2199
17,Male,180.3,59.2,Triple Jump,Recovery,72,Medium,13173,11,2963
37,Female,198.1,101.8,400m Sprint,Training,59,Medium,9216,5,3751
31,Male,162.9,61.2,Triple Jump,Competition,119,Low,13010,1,2466
15,Female,186.1,62.1,Long Jump,Competition,39,High,14086,11,3023
29,Male,164.0,45.0,Long Jump,Training,88,Medium,3403,11,2588
23,Female,179.1,101.6,Long Jump,Competition,64,High,1235,6,4210
29,Male,159.4,96.5,400m Sprint,Recovery,25,Low,12374,8,2616
38,Male,175.3,85.8,Discus,Competition,58,Low,4760,2,2798
17,Male,189.0,93.8,100m Sprint,Training,121,High,13149,15,5382
36,Female,170.6,54.9,Hammer,Recovery,149,Medium,14010,9,2702
33,Male,184.9,74.8,800m Run,Competition,126,Low,14396,15,3184
27,Male,190.8,67.8,Discus,Recovery,58,Medium,6940,8,2911
26,Female,196.7,51.1,Hammer,Training,137,Medium,14430,16,2889
34,Female,165.6,76.6,Long Jump,Competition,101,High,785,14,3879
15,Male,173.0,104.8,Javelin,Recovery,73,Low,13864,15,3152
35,Male,161.9,47.6,Hammer,Recovery,129,High,11509,20,2755
31,Female,199.7,63.9,Discus,Competition,31,Low,9859,13,2217
27,Female,196.7,58.5,200m Sprint,Recovery,129,High,11200,9,3588
15,Female,179.3,60.5,High Jump,Recovery,57,Low,14632,1,2262
24,Female,192.9,104.0,High Jump,Training,26,Low,3194,6,2941
29,Female,178.4,75.4,Javelin,Training,97,Low,4789,8,2715
21,Male,183.1,75.3,800m Run,Training,84,Medium,3775,20,3451
36,Female,159.0,94.4,800m Run,Training,121,Medium,10638,18,3734
32,Male,189.0,55.0,100m Sprint,Training,120,High,11982,18,3816
30,Male,160.7,76.7,200m Sprint,Training,63,High,5350,17,3429
28,Male,192.2,72.9,Shot Put,Competition,50,Low,533,16,2695
32,Female,190.2,83.8,Discus,Training,96,Low,8593,13,2785
21,Male,186.9,110.0,Triple Jump,Recovery,67,Medium,3663,4,4035
31,Male,156.6,95.0,Triple Jump,Competition,101,Medium,129,4,3977
32,Female,168.6,70.9,Shot Put,Recovery,146,Medium,10531,14,3037
26,Male,166.8,98.8,High Jump,Training,103,High,12563,5,4814
22,Male,171.2,56.1,Shot Put,Training,29,Medium,2959,16,2554
36,Female,158.9,47.0,Discus,Recovery,48,High,1858,14,2124
16,Male,197.2,58.3,Hammer,Recovery,67,Medium,11165,14,2981
21,Male,179.9,67.1,200m Sprint,Recovery,135,Medium,12342,14,3422
18,Male,168.7,78.2,Long Jump,Competition,32,Low,3649,14,2568
32,Female,172.9,85.0,400m Sprint,Training,66,High,10978,19,3693
20,Female,175.1,104.2,Javelin,Recovery,122,Medium,3097,3,3781
23,Female,182.0,78.1,Long Jump,Training,110,Low,3512,17,2689
23,Male,178.2,77.6,400m Sprint,Recovery,72,High,4860,14,3745
28,Male,196.4,48.3,Triple Jump,Training,111,High,9412,10,3585
22,Female,177.4,47.3,Javelin,Competition,96,Medium,8833,13,2395
33,Male,199.6,80.8,800m Run,Training,63,High,11506,4,4057
17,Male,193.3,73.5,Hammer,Recovery,21,Low,14135,11,2790
32,Female,164.4,99.5,Discus,Training,120,Low,723,15,2999
19,Female,196.9,55.4,Long Jump,Competition,76,High,13501,15,3347
28,Male,160.2,46.6,Shot Put,Competition,76,Low,13089,2,2166
18,Male,191.8,74.2,200m Sprint,Training,53,High,737,11,3894
21,Male,172.1,60.4,200m Sprint,Recovery,77,Low,13045,2,2429
34,Female,194.5,48.2,High Jump,Competition,54,High,13879,5,2711
39,Female,194.1,92.1,200m Sprint,Competition,94,High,14902,13,4698
26,Female,191.3,52.3,200m Sprint,Training,52,High,1299,1,2915
16,Female,190.6,84.5,800m Run,Competition,134,Low,14129,7,3390
25,Male,168.7,63.3,Shot Put,Competition,94,High,3480,7,3770
28,Female,158.6,56.3,Triple Jump,Recovery,92,High,339,10,2747
36,Female,173.1,69.7,200m Sprint,Recovery,97,Medium,152,6,2853
37,Female,162.8,97.1,Triple Jump,Recovery,28,Medium,5684,20,2604
30,Female,186.3,70.5,800m Run,Training,67,High,9613,12,3242
34,Female,170.6,93.8,200m Sprint,Competition,86,Medium,13755,13,3748
20,Male,198.9,53.2,Javelin,Training,138,High,3051,11,3644
37,Male,183.8,95.2,Discus,Competition,138,Medium,426,18,4454
18,Female,192.0,60.4,High Jump,Competition,105,Low,7146,2,2541
29,Male,161.0,89.0,Long Jump,Competition,125,Low,8125,16,3265
38,Female,193.8,81.8,Discus,Recovery,95,High,11750,2,3717
39,Female,196.5,105.4,1500m Run,Training,59,High,6347,19,4595
15,Male,176.9,70.2,Javelin,Training,38,Low,9327,6,2525
21,Male,182.3,49.3,100m Sprint,Competition,66,Low,2372,1,2426
39,Female,189.4,46.2,200m Sprint,Training,84,Medium,8126,11,2342
26,Female,162.9,98.7,Triple Jump,Recovery,49,High,11521,18,3259
24,Female,177.6,79.1,100m Sprint,Training,145,Low,949,10,2990
19,Male,172.9,95.4,400m Sprint,Competition,85,Low,7695,18,3131
26,Female,161.6,60.2,200m Sprint,Recovery,24,High,1373,1,2455
32,Female,171.5,67.4,1500m Run,Recovery,112,Medium,14318,19,2834
24,Female,158.1,47.0,800m Run,Competition,116,Medium,7082,16,2570
20,Male,156.2,107.5,High Jump,Training,113,Medium,9148,7,4170
26,Female,161.1,88.4,1500m Run,Competition,125,Medium,9893,15,3948
21,Female,198.3,105.7,Triple Jump,Training,104,Low,11133,1,3541
32,Male,179.7,62.3,800m Run,Training,77,High,2482,9,3522
16,Female,198.5,84.7,Hammer,Recovery,98,High,7593,2,4126
24,Female,174.5,89.1,Long Jump,Competition,27,Low,9495,17,2424
29,Male,169.0,65.6,800m Run,Recovery,31,Low,370,10,2238
26,Female,177.8,100.1,200m Sprint,Competition,113,Low,7837,6,3199
40,Male,174.8,106.6,100m Sprint,Competition,110,High,11172,5,5925
31,Male,159.8,102.5,100m Sprint,Recovery,52,High,2296,8,4042
18,Female,183.8,93.0,Triple Jump,Competition,119,High,7034,8,5227
21,Female,164.7,63.0,800m Run,Competition,34,Medium,6324,5,2523
23,Female,182.9,63.3,1500m Run,Training,133,Low,12990,12,2572
33,Female,184.3,107.6,Javelin,Competition,148,Low,7142,7,3442
37,Male,161.8,45.7,Triple Jump,Competition,30,Low,13962,13,1838
21,Female,157.8,91.5,Hammer,Recovery,74,High,10317,13,3591
37,Male,190.1,90.9,High Jump,Recovery,21,Low,11158,17,2698
16,Female,175.7,85.5,Triple Jump,Competition,84,Low,7028,4,2639
20,Female,157.6,109.4,Triple Jump,Training,35,Medium,6479,18,3292
32,Female,199.8,65.3,Long Jump,Training,125,High,4145,10,3762
20,Male,157.6,67.1,Discus,Recovery,49,Low,14420,3,2257
27,Female,186.3,50.1,200m Sprint,Competition,29,High,10934,12,2766
40,Female,199.3,73.8,Long Jump,Competition,81,High,14339,1,3791
33,Female,165.8,62.0,100m Sprint,Training,104,High,13280,11,3478
16,Female,161.4,67.3,100m Sprint,Training,86,Medium,4021,18,2939
26,Male,160.5,99.2,Javelin,Training,60,High,2364,13,3946
29,Female,168.6,105.8,400m Sprint,Recovery,37,High,5230,17,3683
28,Male,159.5,57.1,400m Sprint,Competition,77,High,13645,8,3272
20,Male,186.1,69.2,Javelin,Recovery,79,Low,5970,20,2534
32,Male,157.8,105.4,1500m Run,Competition,107,Medium,8954,19,4153
19,Male,177.9,49.0,100m Sprint,Recovery,46,Low,7300,17,2217
32,Male,199.9,51.0,Discus,Competition,87,Medium,6755,2,3162
17,Male,191.6,55.6,Long Jump,Training,41,Medium,12254,3,2742
17,Female,182.7,83.7,High Jump,Training,59,High,1004,3,3623
36,Male,168.8,54.8,Discus,Training,128,High,7057,6,3498
36,Male,183.1,107.9,Hammer,Recovery,93,Low,3755,10,3115
24,Male,178.7,74.0,Javelin,Training,85,Medium,2846,18,3558
33,Female,174.2,77.6,400m Sprint,Competition,25,High,6262,18,2932
17,Female,160.9,61.0,800m Run,Recovery,131,High,8541,14,3311
26,Male,194.9,75.6,Discus,Competition,37,High,2964,16,3538
30,Female,175.2,88.0,Javelin,Recovery,100,High,8878,7,3912
31,Male,163.8,93.8,Discus,Competition,121,Low,4637,1,3406
21,Male,171.5,94.0,Hammer,Competition,129,Low,11318,17,3313
27,Female,173.6,82.6,Discus,Recovery,49,High,12648,5,3300
38,Male,192.2,103.8,Discus,Recovery,141,High,2755,1,4899
16,Female,188.0,98.1,Discus,Training,81,High,11716,17,4557
18,Female,189.6,94.2,400m Sprint,Training,139,High,3624,10,5704
24,Male,155.5,48.6,100m Sprint,Competition,126,High,2732,12,3589
21,Male,173.7,45.4,Triple Jump,Competition,95,Medium,6473,20,2740
38,Female,176.7,58.8,Discus,Competition,28,Medium,14554,2,2189
31,Male,155.9,88.1,Discus,Recovery,58,Medium,6351,16,3023
34,Male,166.7,71.7,200m Sprint,Recovery,43,Medium,1693,15,2715
20,Male,189.2,71.2,100m Sprint,Training,144,High,11084,13,4748
33,Female,161.2,102.5,Triple Jump,Competition,137,Medium,12003,18,4293
19,Female,179.1,103.2,High Jump,Training,53,Medium,12372,20,3505
24,Male,164.7,104.1,High Jump,Recovery,80,Low,684,14,3128
23,Female,155.5,65.4,800m Run,Recovery,98,Medium,12532,18,2710
27,Female,165.9,89.9,Javelin,Recovery,69,Medium,2919,2,2998
33,Female,198.9,62.7,Shot Put,Training,70,High,7166,2,3328
35,Female,191.1,57.4,Long Jump,Recovery,71,Medium,3756,3,2642
38,Female,198.2,57.0,200m Sprint,Competition,141,Medium,5454,5,3238
20,Male,177.0,67.2,100m Sprint,Training,27,High,3283,16,3208
18,Male,159.9,72.9,100m Sprint,Recovery,132,Medium,4691,15,3285
38,Male,179.7,99.0,Shot Put,Training,64,High,6828,12,4284
17,Female,175.4,52.8,800m Run,Training,107,Medium,7350,9,2812
17,Female,193.0,92.8,1500m Run,Recovery,47,Low,12218,14,2853
18,Male,159.4,79.5,400m Sprint,Recovery,138,Low,1156,16,2809
39,Female,177.0,63.7,800m Run,Training,126,Medium,3061,11,3158
19,Male,161.8,77.0,Hammer,Training,46,Low,7157,6,2534
22,Male,169.6,64.5,Triple Jump,Recovery,100,High,5919,10,3593
30,Male,188.2,83.7,800m Run,Competition,120,Medium,5893,8,4130
36,Female,176.4,73.2,Shot Put,Training,81,High,4445,16,3486
17,Female,171.9,55.7,Shot Put,Training,81,Low,10521,3,2189
38,Male,172.8,52.6,Long Jump,Competition,45,High,6436,2,2972
26,Male,175.7,80.5,200m Sprint,Recovery,140,Low,1292,16,2998
39,Male,190.3,103.7,Hammer,Recovery,43,Low,10076,19,2940
22,Male,195.1,67.4,Discus,Competition,58,Low,9752,9,2663
27,Female,198.0,92.6,Javelin,Recovery,143,High,9175,16,4474
18,Female,190.4,87.8,High Jump,Recovery,40,Low,7902,4,2616
28,Male,169.2,105.6,Shot Put,Training,113,Medium,2067,10,3952
28,Male,186.0,98.4,Long Jump,Training,134,Low,10055,19,3703
27,Female,174.7,81.8,400m Sprint,Training,140,Medium,1979,13,4060
